flare_id,GOES_class,stix_start_UTC,stix_end_UTC,mwa_start_UTC,mwa_end_UTC,flare_duration_sec,overlap_percentage,projectids,obs_ids,obs_names,calibrator_obs_ids,calibrator_obs_names,calibrator_time_diff_hr
2209300352,M1.1,2022-09-30 03:33:48.311000+00:00,2022-09-30 04:24:16.316000+00:00,2022-09-30 03:33:48.311000+00:00,2022-09-30 04:24:16.316000+00:00,3028,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1348544016, 1348544312, 1348544608, 1348544904, 1348545200, 1348545496, 1348545792, 1348546088, 1348546384, 1348546680, 1348546976]","['Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_26_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_27_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_28_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_29_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_30_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_31_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_32_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_33_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_34_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_35_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_36_of_61']","[1348522216, 1348569080, 1348574416]","['Oberoi2022A_Cal_PKS0408-65_Ch[58,61,...,210,226]', 'Oberoi2022A_Cal_HerA_Ch[58,61,...,210,226]', 'Oberoi2022A_cal_3C444_Ch[101,104,...,182,187]']","[6.06, 6.96, 8.44]"
2406240630,M1.1,2024-06-24 06:30:16.942000+00:00,2024-06-24 06:31:08.942000+00:00,2024-06-24 06:30:16.942000+00:00,2024-06-24 06:31:08.942000+00:00,52,100,['G0002'],[1403245816],"['Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]']","[1403216656, 1403258056]","['Oberoi2024A_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_HydA_Ch[58,61,...,210,226]']","[8.1, 3.4]"
2312200551,C8.0,2023-12-20 05:44:58.719000+00:00,2023-12-20 06:26:46.726000+00:00,2023-12-20 05:44:58.719000+00:00,2023-12-20 06:26:46.726000+00:00,2508,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1387086264, 1387086504, 1387086744, 1387086984, 1387087224, 1387087464, 1387087704, 1387087944, 1387088184, 1387088424, 1387088664]","['Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_49_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_50_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_51_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_52_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_53_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_54_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_55_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_56_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_57_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_58_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_59_of_67']","[1387053016, 1387053312, 1387107440]","['Oberoi2023B_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_HydA_Ch[75,76,...,160,161]', 'Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]']","[9.24, 9.15, 5.88]"
2312220456,C7.8,2023-12-22 04:46:58.722000+00:00,2023-12-22 05:20:34.726000+00:00,2023-12-22 04:46:58.722000+00:00,2023-12-22 05:20:34.726000+00:00,2016,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1387255464, 1387255704, 1387255944, 1387256184, 1387256424, 1387256664, 1387256904, 1387257144, 1387257384, 1387257624]","['Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_34_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_35_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_36_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_37_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_38_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_39_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_40_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_41_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_42_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_43_of_67']","[1387225816, 1387226112, 1387280240]","['Oberoi2023B_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_HydA_Ch[75,76,...,160,161]', 'Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]']","[8.24, 8.15, 6.88]"
2406060455,C6.4,2024-06-06 04:49:09.018000+00:00,2024-06-06 05:32:45.023000+00:00,2024-06-06 04:49:09.018000+00:00,2024-06-06 05:32:45.023000+00:00,2616,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401684496, 1401684616, 1401684736, 1401684856, 1401684976, 1401685096, 1401685216, 1401685336, 1401685456, 1401685576, 1401685696, 1401685816, 1401685936, 1401686056, 1401686176, 1401686296, 1401686416, 1401686536, 1401686656, 1401686776, 1401686896, 1401687016, 1401687136]","['Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_55_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_56_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_57_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_58_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_59_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_60_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_62_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_63_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_64_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_65_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_66_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_67_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_68_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_69_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_70_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_71_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_72_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_73_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_74_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_75_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_77_of_135']","[1401660920, 1401661456, 1401702856]","['Oberoi2024A_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_HydA_Ch[58,61,...,210,226]']","[6.55, 6.4, 5.1]"
2406070513,C5.1,2024-06-07 05:08:21.176000+00:00,2024-06-07 05:41:05.180000+00:00,2024-06-07 05:08:21.176000+00:00,2024-06-07 05:41:05.180000+00:00,1964,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401772096, 1401772216, 1401772336, 1401772456, 1401772576, 1401772696, 1401772816, 1401772936, 1401773056, 1401773176, 1401773296, 1401773416, 1401773536, 1401773656, 1401773776, 1401773896, 1401774016]","['Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_95_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_96_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_97_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_98_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_99_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_100_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_101_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_102_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_103_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_104_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_105_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_107_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_108_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_109_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_110_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_111_of_135']","[1401747856, 1401789256, 1401791416]","['Oberoi2024A_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_J121834-101851_Ch[58,61,...,210,226]']","[6.73, 4.77, 5.37]"
2312250154,C4.4,2023-12-25 01:26:35.165000+00:00,2023-12-25 02:06:31.170000+00:00,2023-12-25 01:26:35.165000+00:00,2023-12-25 02:06:31.170000+00:00,2396,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1387502656, 1387502896, 1387503136, 1387503376, 1387503616, 1387503856, 1387504096, 1387504336, 1387504576, 1387504816, 1387505056]","['Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_7_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_8_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_9_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_10_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_11_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_12_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_13_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_14_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_15_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_16_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_17_of_23']","[1387485016, 1387485312, 1387539440, 1387539736]","['Oberoi2023B_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_HydA_Ch[75,76,...,160,161]', 'Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_3C444_Ch[75,76,...,160,161]']","[4.9, 4.82, 10.22, 10.3]"
2406060434,C3.7,2024-06-06 04:19:57.014000+00:00,2024-06-06 04:46:57.018000+00:00,2024-06-06 04:19:57.014000+00:00,2024-06-06 04:46:57.018000+00:00,1620,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1401682696, 1401682816, 1401682936, 1401683056, 1401683176, 1401683296, 1401683416, 1401683536, 1401683656, 1401683776, 1401683896, 1401684016, 1401684136, 1401684256, 1401684376]","['Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_40_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_41_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_42_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_43_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_44_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_45_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_47_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_48_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_49_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_50_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_51_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_52_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_53_of_135', 'Oberoi2024A_reg_Sun_Ch[58,61,...,210,226]_54_of_135']","[1401660920, 1401661456, 1401702856]","['Oberoi2024A_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2024A_Cal_HydA_Ch[58,61,...,210,226]']","[6.05, 5.9, 5.6]"
2311240536,C3.3,2023-11-24 05:16:13.378000+00:00,2023-11-24 05:59:29.382000+00:00,2023-11-24 05:16:13.378000+00:00,2023-11-24 05:59:29.382000+00:00,2596,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1384838176, 1384838416, 1384838656, 1384838896, 1384839136, 1384839376, 1384839616, 1384839856, 1384840096, 1384840336, 1384840576]","['Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_50_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_51_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_52_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_53_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_54_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_55_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_56_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_57_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_58_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_59_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_60_of_60']",[1384860616],"['Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]']",[6.23]
2209300319,C2.9,2022-09-30 03:12:40.309000+00:00,2022-09-30 03:29:32.310000+00:00,2022-09-30 03:12:40.309000+00:00,2022-09-30 03:29:32.310000+00:00,1012,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1348542536, 1348542832, 1348543128, 1348543424, 1348543720]","['Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_21_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_22_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_23_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_24_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_25_of_61']","[1348522216, 1348569080, 1348574416]","['Oberoi2022A_Cal_PKS0408-65_Ch[58,61,...,210,226]', 'Oberoi2022A_Cal_HerA_Ch[58,61,...,210,226]', 'Oberoi2022A_cal_3C444_Ch[101,104,...,182,187]']","[5.64, 7.37, 8.86]"
2312200441,C2.9,2023-12-20 04:28:10.711000+00:00,2023-12-20 05:00:30.714000+00:00,2023-12-20 04:28:10.711000+00:00,2023-12-20 05:00:30.714000+00:00,1940,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1387081704, 1387081944, 1387082184, 1387082424, 1387082664, 1387082904, 1387083144, 1387083384, 1387083624]","['Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_30_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_31_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_32_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_33_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_34_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_35_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_36_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_37_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_38_of_67']","[1387053016, 1387053312, 1387107440]","['Oberoi2023B_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_HydA_Ch[75,76,...,160,161]', 'Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]']","[7.97, 7.89, 7.15]"
2307250604,C2.7,2023-07-25 05:52:08.216000+00:00,2023-07-25 06:11:40.218000+00:00,2023-07-25 05:52:08.216000+00:00,2023-07-25 06:11:40.218000+00:00,1172,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1374299432, 1374299728, 1374300024, 1374300320, 1374300616]","['Oberoi2023A_rest_Sun_Ch[58,61,...,210,226]_5_of_37', 'Oberoi2023A_rest_Sun_Ch[58,61,...,210,226]_6_of_37', 'Oberoi2023A_rest_Sun_Ch[58,61,...,210,226]_7_of_37', 'Oberoi2023A_rest_Sun_Ch[58,61,...,210,226]_8_of_37', 'Oberoi2023A_rest_Sun_Ch[58,61,...,210,226]_9_of_37']","[1374273920, 1374274216, 1374314416, 1374314712]","['Oberoi2023A_Cal_PicA_Ch[58,61,...,210,226]', 'Oberoi2023A_Cal_PicA_Ch[101,104,...,182,187]', 'Oberoi2023A_Cal_CenA_Ch[58,61,...,210,226]', 'Oberoi2023A_Cal_CenA_Ch[101,104,...,182,187]']","[7.09, 7.0, 4.16, 4.24]"
2209300523,C2.5,2022-09-30 05:22:16.322000+00:00,2022-09-30 05:24:12.323000+00:00,2022-09-30 05:22:16.322000+00:00,2022-09-30 05:24:12.323000+00:00,116,100,['G0002'],[1348550528],"['Oberoi2022A_reg_Sun_Ch[101,104,...,182,187]']","[1348522216, 1348569080, 1348574416]","['Oberoi2022A_Cal_PKS0408-65_Ch[58,61,...,210,226]', 'Oberoi2022A_Cal_HerA_Ch[58,61,...,210,226]', 'Oberoi2022A_cal_3C444_Ch[101,104,...,182,187]']","[7.86, 5.15, 6.64]"
2209300538,C2.5,2022-09-30 05:25:16.323000+00:00,2022-09-30 06:04:24.327000+00:00,2022-09-30 05:25:16.323000+00:00,2022-09-30 06:04:24.327000+00:00,2348,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1348550528, 1348550824, 1348551120, 1348551416, 1348551712, 1348552008, 1348552304, 1348552600, 1348552896]","['Oberoi2022A_reg_Sun_Ch[101,104,...,182,187]', 'Oberoi2022A_reg_Sun_Ch[101,104,...,182,187]', 'Oberoi2022A_reg_Sun_Ch[101,104,...,182,187]', 'Oberoi2022A_reg_Sun_Ch[101,104,...,182,187]', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_52_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_53_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_54_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_55_of_61', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_56_of_61']","[1348522216, 1348569080, 1348574416]","['Oberoi2022A_Cal_PKS0408-65_Ch[58,61,...,210,226]', 'Oberoi2022A_Cal_HerA_Ch[58,61,...,210,226]', 'Oberoi2022A_cal_3C444_Ch[101,104,...,182,187]']","[7.86, 5.15, 6.64]"
2312250224,C2.5,2023-12-25 02:20:31.171000+00:00,2023-12-25 02:27:19.172000+00:00,2023-12-25 02:20:31.171000+00:00,2023-12-25 02:27:19.172000+00:00,408,100,"['G0002', 'G0002']","[1387506016, 1387506256]","['Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_21_of_23', 'Oberoi2023B_reg_Sun_Ch[75,76,...,160,161]_22_of_23']","[1387485016, 1387485312, 1387539440, 1387539736]","['Oberoi2023B_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_HydA_Ch[75,76,...,160,161]', 'Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_3C444_Ch[75,76,...,160,161]']","[5.83, 5.75, 9.28, 9.37]"
2312200632,C2.4,2023-12-20 06:28:22.727000+00:00,2023-12-20 06:39:10.728000+00:00,2023-12-20 06:28:22.727000+00:00,2023-12-20 06:39:10.728000+00:00,648,100,"['G0002', 'G0002', 'G0002']","[1387088904, 1387089144, 1387089384]","['Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_60_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_61_of_67', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_62_of_67']","[1387053016, 1387053312, 1387107440]","['Oberoi2023B_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_HydA_Ch[75,76,...,160,161]', 'Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]']","[9.97, 9.89, 5.15]"
2209300331,C2.3,2022-09-30 03:30:40.311000+00:00,2022-09-30 03:31:40.311000+00:00,2022-09-30 03:30:40.311000+00:00,2022-09-30 03:31:40.311000+00:00,60,100,['G0002'],[1348543720],"['Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_25_of_61']","[1348522216, 1348569080, 1348574416]","['Oberoi2022A_Cal_PKS0408-65_Ch[58,61,...,210,226]', 'Oberoi2022A_Cal_HerA_Ch[58,61,...,210,226]', 'Oberoi2022A_cal_3C444_Ch[101,104,...,182,187]']","[5.97, 7.04, 8.53]"
2307250324,C2.3,2023-07-25 03:22:52.200000+00:00,2023-07-25 03:30:20.201000+00:00,2023-07-25 03:22:52.200000+00:00,2023-07-25 03:30:20.201000+00:00,448,100,"['G0002', 'G0002']","[1374290552, 1374290848]","['Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_12_of_37', 'Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_13_of_37']","[1374273920, 1374274216, 1374314416, 1374314712]","['Oberoi2023A_Cal_PicA_Ch[58,61,...,210,226]', 'Oberoi2023A_Cal_PicA_Ch[101,104,...,182,187]', 'Oberoi2023A_Cal_CenA_Ch[58,61,...,210,226]', 'Oberoi2023A_Cal_CenA_Ch[101,104,...,182,187]']","[4.62, 4.54, 6.63, 6.71]"
2307250408,C2.3,2023-07-25 03:53:20.203000+00:00,2023-07-25 04:18:04.206000+00:00,2023-07-25 03:53:20.203000+00:00,2023-07-25 04:18:04.206000+00:00,1484,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1374292328, 1374292624, 1374292920, 1374293216, 1374293512, 1374293808]","['Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_18_of_37', 'Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_19_of_37', 'Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_20_of_37', 'Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_21_of_37', 'Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_22_of_37', 'Oberoi2023A_mid_Sun_Ch[101,104,...,182,187]_23_of_37']","[1374273920, 1374274216, 1374314416, 1374314712]","['Oberoi2023A_Cal_PicA_Ch[58,61,...,210,226]', 'Oberoi2023A_Cal_PicA_Ch[101,104,...,182,187]', 'Oberoi2023A_Cal_CenA_Ch[58,61,...,210,226]', 'Oberoi2023A_Cal_CenA_Ch[101,104,...,182,187]']","[5.11, 5.03, 6.14, 6.22]"
2311240301,C2.2,2023-11-24 03:00:13.365000+00:00,2023-11-24 03:04:25.366000+00:00,2023-11-24 03:00:13.365000+00:00,2023-11-24 03:04:25.366000+00:00,252,100,"['G0002', 'G0002']","[1384830016, 1384830256]","['Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_16_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_17_of_60']",[1384860616],"['Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]']",[8.5]
2209120412,C2.1,2022-09-12 04:00:01.179000+00:00,2022-09-12 04:18:17.181000+00:00,2022-09-12 04:00:01.179000+00:00,2022-09-12 04:18:17.181000+00:00,1096,100,"['G0002', 'G0002', 'G0002', 'G0002']","[1346990392, 1346990688, 1346990984, 1346991280]","['Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_7_of_13', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_8_of_13', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_9_of_13', 'Oberoi2022A_reg_Sun_Ch[58,61,...,210,226]_10_of_13']",[1346967016],"['Oberoi2022A_Cal_PKS0408-65_Ch[58,61,...,210,226]']",[6.49]
2311280445,C2.1,2023-11-28 04:36:37.897000+00:00,2023-11-28 04:54:09.899000+00:00,2023-11-28 04:36:37.897000+00:00,2023-11-28 04:54:09.899000+00:00,1052,100,"['G0002', 'G0002', 'G0002', 'G0002', 'G0002']","[1385181376, 1385181616, 1385181856, 1385182096, 1385182336]","['Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_40_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_41_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_42_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_43_of_60', 'Oberoi2023B_reg_Sun_Ch[58,61,...,210,226]_44_of_60']","[1385152216, 1385206216]","['Oberoi2023B_Cal_HydA_Ch[58,61,...,210,226]', 'Oberoi2023B_Cal_3C444_Ch[58,61,...,210,226]']","[8.1, 6.9]"
